co_mun,no_mun,ano,fonte,variavel,ensino_rede,ensino_tipo,valor
2704302,Maceió,2010,censo_demografico,Taxa de Analfabetismo,Não se aplica,Pessoas de 15 anos ou mais de idade,11.86
2704302,Maceió,2022,censo_demografico,Taxa de Analfabetismo,Não se aplica,Pessoas de 15 anos ou mais de idade,8.42
2704302,Maceió,2023,censo_escolar,Matrícula,Total,Educação Infantil,24000.0
2704302,Maceió,2023,censo_escolar,Matrícula,Estadual,Ensino Fundamental,29270.0
2704302,Maceió,2023,censo_escolar,Matrícula,Municipal,Ensino Fundamental,37245.0
2704302,Maceió,2023,censo_escolar,Matrícula,Federal,Ensino Fundamental,0.0
2704302,Maceió,2023,censo_escolar,Matrícula,Privada,Ensino Fundamental,42511.0
2704302,Maceió,2023,censo_escolar,Matrícula,Pública,Ensino Fundamental,66515.0
2704302,Maceió,2023,censo_escolar,Matrícula,Total,Ensino Fundamental,109026.0
2704302,Maceió,2023,censo_escolar,Matrícula,Total,Ensino Médio,32000.0
2704302,Maceió,2023,censo_escolar,Matrícula,Total,Educação de Jovens e Adultos (EJA),6000.0
2704302,Maceió,2023,censo_escolar,Matrícula,Total,Educação Profissional,4000.0
2704302,Maceió,2023,indicadores_rendimento,Taxa de Aprovação,Total,Ensino Fundamental,96.50
2706802,Piaçabuçu,2010,censo_demografico,Taxa de Analfabetismo,Não se aplica,Pessoas de 15 anos ou mais de idade,31.77
2706802,Piaçabuçu,2022,censo_demografico,Taxa de Analfabetismo,Não se aplica,Pessoas de 15 anos ou mais de idade,22.83
2706802,Piaçabuçu,2023,censo_escolar,Matrícula,Total,Educação Infantil,800.0
2706802,Piaçabuçu,2023,censo_escolar,Matrícula,Total,Ensino Fundamental,2400.0
2706802,Piaçabuçu,2023,censo_escolar,Matrícula,Total,Ensino Médio,1000.0
2706802,Piaçabuçu,2023,censo_escolar,Matrícula,Total,Educação de Jovens e Adultos (EJA),300.0
2706802,Piaçabuçu,2023,censo_escolar,Matrícula,Total,Educação Profissional,200.0
2706802,Piaçabuçu,2023,indicadores_rendimento,Taxa de Aprovação,Total,Ensino Fundamental,94.00
2700300,Arapiraca,2023,censo_escolar,Matrícula,Total,Educação Infantil,8000.0
2700300,Arapiraca,2023,censo_escolar,Matrícula,Total,Ensino Fundamental,35000.0
2700300,Arapiraca,2023,censo_escolar,Matrícula,Total,Ensino Médio,11000.0
2700300,Arapiraca,2023,censo_escolar,Matrícula,Total,Educação de Jovens e Adultos (EJA),2000.0
2700300,Arapiraca,2023,censo_escolar,Matrícula,Total,Educação Profissional,1500.0
2700300,Arapiraca,2023,indicadores_rendimento,Taxa de Aprovação,Total,Ensino Fundamental,95.80
2706307,Palmeira dos Índios,2023,censo_escolar,Matrícula,Total,Educação Infantil,2500.0
2706307,Palmeira dos Índios,2023,censo_escolar,Matrícula,Total,Ensino Fundamental,12000.0
2706307,Palmeira dos Índios,2023,censo_escolar,Matrícula,Total,Ensino Médio,4000.0
2706307,Palmeira dos Índios,2023,censo_escolar,Matrícula,Total,Educação de Jovens e Adultos (EJA),800.0
2706307,Palmeira dos Índios,2023,censo_escolar,Matrícula,Total,Educação Profissional,500.0
2706307,Palmeira dos Índios,2023,indicadores_rendimento,Taxa de Aprovação,Total,Ensino Fundamental,95.20
2706703,Penedo,2023,censo_escolar,Matrícula,Total,Educação Infantil,2200.0
2706703,Penedo,2023,censo_escolar,Matrícula,Total,Ensino Fundamental,10000.0
2706703,Penedo,2023,censo_escolar,Matrícula,Total,Ensino Médio,3500.0
2706703,Penedo,2023,censo_escolar,Matrícula,Total,Educação de Jovens e Adultos (EJA),700.0
2706703,Penedo,2023,censo_escolar,Matrícula,Total,Educação Profissional,400.0
2706703,Penedo,2023,indicadores_rendimento,Taxa de Aprovação,Total,Ensino Fundamental,96.00
2709301,União dos Palmares,2023,censo_escolar,Matrícula,Total,Educação Infantil,2300.0
2709301,União dos Palmares,2023,censo_escolar,Matrícula,Total,Ensino Fundamental,11000.0
2709301,União dos Palmares,2023,censo_escolar,Matrícula,Total,Ensino Médio,3600.0
2709301,União dos Palmares,2023,censo_escolar,Matrícula,Total,Educação de Jovens e Adultos (EJA),750.0
2709301,União dos Palmares,2023,censo_escolar,Matrícula,Total,Educação Profissional,450.0
2709301,União dos Palmares,2023,indicadores_rendimento,Taxa de Aprovação,Total,Ensino Fundamental,95.50
2707701,Rio Largo,2023,censo_escolar,Matrícula,Total,Educação Infantil,3200.0
2707701,Rio Largo,2023,censo_escolar,Matrícula,Total,Ensino Fundamental,15000.0
2707701,Rio Largo,2023,censo_escolar,Matrícula,Total,Ensino Médio,4800.0
2707701,Rio Largo,2023,censo_escolar,Matrícula,Total,Educação de Jovens e Adultos (EJA),1000.0
2707701,Rio Largo,2023,censo_escolar,Matrícula,Total,Educação Profissional,600.0
2707701,Rio Largo,2023,indicadores_rendimento,Taxa de Aprovação,Total,Ensino Fundamental,96.10
2702405,Delmiro Gouveia,2023,censo_escolar,Matrícula,Total,Educação Infantil,1800.0
2702405,Delmiro Gouveia,2023,censo_escolar,Matrícula,Total,Ensino Fundamental,9000.0
2702405,Delmiro Gouveia,2023,censo_escolar,Matrícula,Total,Ensino Médio,3000.0
2702405,Delmiro Gouveia,2023,censo_escolar,Matrícula,Total,Educação de Jovens e Adultos (EJA),600.0
2702405,Delmiro Gouveia,2023,censo_escolar,Matrícula,Total,Educação Profissional,350.0
2702405,Delmiro Gouveia,2023,indicadores_rendimento,Taxa de Aprovação,Total,Ensino Fundamental,94.80
2709103,São Miguel dos Campos,2023,censo_escolar,Matrícula,Total,Educação Infantil,2100.0
2709103,São Miguel dos Campos,2023,censo_escolar,Matrícula,Total,Ensino Fundamental,10000.0
2709103,São Miguel dos Campos,2023,censo_escolar,Matrícula,Total,Ensino Médio,3300.0
2709103,São Miguel dos Campos,2023,censo_escolar,Matrícula,Total,Educação de Jovens e Adultos (EJA),650.0
2709103,São Miguel dos Campos,2023,censo_escolar,Matrícula,Total,Educação Profissional,400.0
2709103,São Miguel dos Campos,2023,indicadores_rendimento,Taxa de Aprovação,Total,Ensino Fundamental,95.90
2702306,Coruripe,2023,censo_escolar,Matrícula,Total,Educação Infantil,4000.0
2702306,Coruripe,2023,censo_escolar,Matrícula,Total,Ensino Fundamental,9000.0
2702306,Coruripe,2023,censo_escolar,Matrícula,Total,Ensino Médio,3500.0
2702306,Coruripe,2023,censo_escolar,Matrícula,Total,Educação de Jovens e Adultos (EJA),700.0
2702306,Coruripe,2023,censo_escolar,Matrícula,Total,Educação Profissional,15528.0
2702306,Coruripe,2023,indicadores_rendimento,Taxa de Aprovação,Total,Ensino Fundamental,98.03
2704302,Maceió,2010,censo_escolar,Matrícula,Estadual,Educação Infantil,1500.0
2704302,Maceió,2010,censo_escolar,Escolas,Estadual,Educação Infantil,15.0
2704302,Maceió,2010,censo_escolar,Matrícula,Municipal,Educação Infantil,2000.0
2704302,Maceió,2010,censo_escolar,Escolas,Municipal,Educação Infantil,20.0
2704302,Maceió,2010,censo_escolar,Matrícula,Federal,Educação Infantil,0.0
2704302,Maceió,2010,censo_escolar,Escolas,Federal,Educação Infantil,0.0
2704302,Maceió,2010,censo_escolar,Matrícula,Privada,Educação Infantil,1500.0
2704302,Maceió,2010,censo_escolar,Escolas,Privada,Educação Infantil,15.0
2704302,Maceió,2010,censo_escolar,Matrícula,Pública,Educação Infantil,3500.0
2704302,Maceió,2010,censo_escolar,Escolas,Pública,Educação Infantil,35.0
2704302,Maceió,2010,censo_escolar,Matrícula,Total,Educação Infantil,5000.0
2704302,Maceió,2010,censo_escolar,Escolas,Total,Educação Infantil,50.0
2704302,Maceió,2010,censo_escolar,Matrícula,Estadual,Ensino Fundamental,1500.0
2704302,Maceió,2010,censo_escolar,Escolas,Estadual,Ensino Fundamental,15.0
2704302,Maceió,2010,censo_escolar,Matrícula,Municipal,Ensino Fundamental,2000.0
2704302,Maceió,2010,censo_escolar,Escolas,Municipal,Ensino Fundamental,20.0
2704302,Maceió,2010,censo_escolar,Matrícula,Federal,Ensino Fundamental,0.0
2704302,Maceió,2010,censo_escolar,Escolas,Federal,Ensino Fundamental,0.0
2704302,Maceió,2010,censo_escolar,Matrícula,Privada,Ensino Fundamental,1500.0
2704302,Maceió,2010,censo_escolar,Escolas,Privada,Ensino Fundamental,15.0
2704302,Maceió,2010,censo_escolar,Matrícula,Pública,Ensino Fundamental,3500.0
